ID,INC_Code,INC_Name_En,INC_Name_TH,INC_nickname,Company_Insure_Type,Sub_Insurer_type,Company_insuretypeID,Status,Tax_ID,Address_for_WH,OIC_InsureCom_Code,Comp_insure_code,bank_account_1
1,AKN,The  South  East Life Company Limited,บริษัท อาคเนย์ประกันชีวิต จำกัด (มหาชน),อาคเนย์ ประกันชีวิต,Life,F,1,Active,0107555000384,,1003,850-00906,
2,BLA,Bangkok Life Assurance,บริษัท กรุงเทพประกันชีวิต จำกัด (มหาชน),กรุงเทพ ประกันชีวิต,Life,F,1,Active,0107550000238,,1006,01054787,
3,KTA,Krungthai-AXA Life Insurance PCL,บริษัท กรุงไทย-แอกซ่า ประกันชีวิต จำกัด (มหาชน),กรุงไทย - แอกซ่า,Life,F,1,Active,0107555000376,,1022,112120,
4,KWI,KWI LIFE INSURANCE PUBLIC COMPANY LIMITED,บริษัท เคดับบลิวไอ ประกันชีวิต จำกัด (มหาชน),เคดับบลิวไอ ประกันชีวิต,Life,F,1,Active,0107537001081,,1009,,
5,MTL,Muang Thai Life Assurance PCL,บริษัท เมืองไทยประกันชีวิต จำกัด (มหาชน),เมืองไทย ประกันชีวิต,Life,F,1,Active,0107555000406,,1004,700627,
6,PHL,Phillip Life Assurance,บริษัท ฟิลลิปประกันชีวิต จำกัด (มหาชน),ฟิลลิป ประกันชีวิต,Life,F,1,Active,0107556000671,,1002,63002558,
7,SSL,SAMSUNG LIFE INSURANCE (THAILAND) PUBLIC COMPANY LIMITED,บริษัท ซัมซุงประกันชีวิต จำกัด (มหาชน),ซัมซุง ประกันชีวิต,Life,F,1,Active,0107556000124,,1021,322100039,
8,TLI,THAI LIFE INSURANCE PUBLIC COMPANY LIMITED,บริษัท ไทยประกันชีวิต จำกัด (มหาชน),ไทย ประกันชีวิต,Life,F,1,Active,0107555000104,,1001,,
9,TNL,T LIFE ASSURANCE PUBLIC COMPANY LIMITED,บริษัท ที ไลฟ์ ประกันชีวิต จำกัด (มหาชน) ,ทีไลฟ์ ประกันชีวิต,Life,F,1,Active,0107555000481,,1017,,
10,TOK,Tokio marine Life Insurance (Thailand) PCL,บริษัท โตเกียวมารีนประกันชีวิต (ประเทศไทย) จำกัด (มหาชน),โตเกียวมารีน ประกันชีวิต,Life,F,1,Active,0107540000103,,1016,"00015707,00015708 
Agent Code : 00016337
Unit Code   : U1317",
11,AET,AETNA HEALTH INSURANCE (THAILAND) PUBLIC COMPANY LIMITED,บริษัท เอ็ทน่า ประกันสุขภาพ (ประเทศไทย) จำกัด (มหาชน),เอ็ทน่า ประกันสุขภาพ,Non-Life,P,2,Marge,0107555000503,,2083,VBI0001,
12,AIG,AIG INSURANCE (THAILAND) PUBLIC COMPANY LIMITED,บริษัท เอไอจี ประกันภัย (ประเทศไทย) จำกัด (มหาชน),เอไอจี ประกันภัย,Non-Life,F,2,Active,0107554000283,,2014,0030930000,
13,AIO,AIOI BANGKOK INSURANCE PUBLIC COMPANY LIMITED,บริษัท ไอโออิ กรุงเทพ ประกันภัย จำกัด (มหาชน),ไอโออิ ประกันภัย,Non-Life,F,2,Active,0105494000019,,2010,60205-00,
14,AKP,SOUTHEAST INSURANCE PUBLIC COMPANY LIMITED,บริษัท อาคเนย์ประกันภัย จำกัด (มหาชน),อาคเนย์ ประกันภัย,Non-Life,F,2,Terminate,0107555000392,,2079,-,
15,ALI,ALLIANZ AYUDHYA GENERAL INSURANCE PUBLIC COMPANY LIMITED,บริษัท อลิอันซ์ อยุธยา ประกันภัย จำกัด (มหาชน),อลิอันซ์อยุธยา ประกันภัย,Non-Life,F,2,Active,0107554000259,,2083,004711,
16,APR,APRIL ASSISTANCE (THAILAND) COMPANY LIMITED,บริษัท เอพริล แอสซิสแตนซ์ (ไทยแลนด์) จำกัด,เอพริล,Non-Life,P,2,Active,0105546080832,,2028,Insurehub,
17,ASA,Asia Insurance 1950 PCL,บริษัท เอเชียประกันภัย 1950 จำกัด (มหาชน),เอเชีย ประกันภัย,Non-Life,F,2,Terminate,0107556000159,,2049,B100379,
18,ASE,"Asset Insurance Co., Ltd.",บริษัท สินทรัพย์ประกันภัย จำกัด (มหาชน),สินทรัพย์ ประกันภัย,Non-Life,F,2,Terminate,0105525030054,,2040,1203013,
19,AXA,AXA Thailand,บริษัท แอกซ่าประกันภัย จำกัด (มหาชน),แอกซ่า ประกันภัย,Non-Life,F,2,Active,0107537002729,,2052,BB176,
20,BKI,"Bangkok Insurance Public Co., Ltd.",บริษัท กรุงเทพประกันภัย จำกัด (มหาชน),กรุงเทพ ประกันภัย,Non-Life,F,2,Active,0107536000625,,2025,653300,
21,BUI,BANGKOK UNION INSURANCE PUBLIC COMPANY LIMITED,บริษัท บางกอกสหประกันภัย จำกัด (มหาชน),บางกอกสห ประกันภัย,Non-Life,F,2,Active,0107537002044,,1019,Insurehub,
22,CEN,"ROAD ACCIDENT VICTIMS PROTECTION CO.,LTD",บริษัท กลางคุ้มครองผู้ประสบภัยจากรถ จำกัด,กลางคุ้มครองผู้ประสบภัยจากรถ,Non-Life,P,2,Deactive,0105541011867,,2081,,
23,CHU,Chubb Samaggi Insurance Public Company Limited,บริษัท ชับบ์สามัคคีประกันภัย จำกัด (มหาชน),ชับบ์สามัคคี ประกันภัย,Non-Life,F,2,Active,0107537001510,,2082,000030299,
24,ERG,ERGO INSURANCE (THAILAND) PUBLIC COMPANY LIMITED,บริษัท เออร์โกประกันภัย จำกัด (มหาชน),เออร์โก ประกันภัย,Non-Life,F,2,Active,0107554000224,,2029,4620,
25,FAL,THE FALCON INSURANCE PUBLIC COMPANY LIMITED,บริษัท ฟอลคอนประกันภัย จำกัด (มหาชน),ฟอลคอน ประกันภัย,Non-Life,F,2,Active,0107535000419,,2024,-,
26,IND,Indara Insurance PCL,บริษัท อินทรประกันภัย จำกัด (มหาชน),อินทร ประกันภัย,Non-Life,F,2,Active,0107537000394,,2077,1110131668,
27,KPI,Krungthai Panich Insurance Public Company Limited,บริษัท กรุงไทยพานิชประกันภัย จำกัด (มหาชน),กรุงไทยพานิช ประกันภัย,Non-Life,F,2,Active,0105496001101,,2019,0032003988,
28,KPP,TOKIO MARINE SAFETY INSURANCE (THAILAND) PUBLIC COMPANY LIMITED,บริษัท คุ้มภัยโตเกียวมารีนประกันภัย (ประเทศไทย) จำกัด (มหาชน),คุ้มภัยโตเกียวมารีน ประกันภัย,Non-Life,F,2,Active,0107563000011,,2780,10311-002,
