ID,Location_Code,province,amphur,district,zip
1,100101,กรุงเทพมหานคร,พระนคร,พระบรมมหาราชวัง,10200
2,100102,กรุงเทพมหานคร,พระนคร,วังบูรพาภิรมย์,10200
3,100103,กรุงเทพมหานคร,พระนคร,วัดราชบพิธ,10200
4,100104,กรุงเทพมหานคร,พระนคร,สำราญราษฎร์,10200
5,100105,กรุงเทพมหานคร,พระนคร,ศาลเจ้าพ่อเสือ,10200
6,100106,กรุงเทพมหานคร,พระนคร,เสาชิงช้า,10200
7,100107,กรุงเทพมหานคร,พระนคร,บวรนิเวศ,10200
8,100108,กรุงเทพมหานคร,พระนคร,ตลาดยอด,10200
9,100109,กรุงเทพมหานคร,พระนคร,ชนะสงคราม,10200
10,100110,กรุงเทพมหานคร,พระนคร,บ้านพานถม,10200
11,100111,กรุงเทพมหานคร,พระนคร,บางขุนพรหม,10200
12,100112,กรุงเทพมหานคร,พระนคร,วัดสามพระยา,10200
13,100201,กรุงเทพมหานคร,ดุสิต,ดุสิต,10300
14,100202,กรุงเทพมหานคร,ดุสิต,วชิรพยาบาล,10300
15,100203,กรุงเทพมหานคร,ดุสิต,สวนจิตรลดา,10300
16,100204,กรุงเทพมหานคร,ดุสิต,สี่แยกมหานาค,10300
17,100206,กรุงเทพมหานคร,ดุสิต,ถนนนครไชยศรี,10300
18,100301,กรุงเทพมหานคร,หนองจอก,กระทุ่มราย,10530
19,100302,กรุงเทพมหานคร,หนองจอก,หนองจอก,10530
20,100303,กรุงเทพมหานคร,หนองจอก,คลองสิบ,10530
21,100304,กรุงเทพมหานคร,หนองจอก,คลองสิบสอง,10530
22,100305,กรุงเทพมหานคร,หนองจอก,โคกแฝด,10530
23,100306,กรุงเทพมหานคร,หนองจอก,คู้ฝั่งเหนือ,10530
24,100307,กรุงเทพมหานคร,หนองจอก,ลำผักชี,10530
25,100308,กรุงเทพมหานคร,หนองจอก,ลำต้อยติ่ง,10530
26,100401,กรุงเทพมหานคร,บางรัก,มหาพฤฒาราม,10500
27,100402,กรุงเทพมหานคร,บางรัก,สีลม,10500
28,100403,กรุงเทพมหานคร,บางรัก,สุริยวงศ์,10500
29,100404,กรุงเทพมหานคร,บางรัก,บางรัก,10500
30,100405,กรุงเทพมหานคร,บางรัก,สี่พระยา,10500
31,100502,กรุงเทพมหานคร,บางเขน,อนุสาวรีย์,10220
32,100508,กรุงเทพมหานคร,บางเขน,ท่าแร้ง,10220
33,100601,กรุงเทพมหานคร,บางกะปิ,คลองจั่น,10240
34,100608,กรุงเทพมหานคร,บางกะปิ,หัวหมาก,10240
35,100701,กรุงเทพมหานคร,ปทุมวัน,รองเมือง,10330
36,100702,กรุงเทพมหานคร,ปทุมวัน,วังใหม่,10330
37,100703,กรุงเทพมหานคร,ปทุมวัน,ปทุมวัน,10330
38,100704,กรุงเทพมหานคร,ปทุมวัน,ลุมพินี,10330
39,100801,กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,ป้อมปราบ,10100
40,100802,กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,วัดเทพศิรินทร์,10100
41,100803,กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,คลองมหานาค,10100
42,100804,กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,บ้านบาตร,10100
43,100805,กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,วัดโสมนัส,10100
44,100905,กรุงเทพมหานคร,พระโขนง,บางจาก,10260
45,101001,กรุงเทพมหานคร,มีนบุรี,มีนบุรี,10510
46,101002,กรุงเทพมหานคร,มีนบุรี,แสนแสบ,10510
47,101101,กรุงเทพมหานคร,ลาดกระบัง,ลาดกระบัง,10520
48,101102,กรุงเทพมหานคร,ลาดกระบัง,คลองสองต้นนุ่น,10520
49,101103,กรุงเทพมหานคร,ลาดกระบัง,คลองสามประเวศ,10520
50,101104,กรุงเทพมหานคร,ลาดกระบัง,ลำปลาทิว,10520
51,101105,กรุงเทพมหานคร,ลาดกระบัง,ทับยาว,10520
52,101106,กรุงเทพมหานคร,ลาดกระบัง,ขุมทอง,10520
53,101203,กรุงเทพมหานคร,ยานนาวา,ช่องนนทรี,10120
54,101204,กรุงเทพมหานคร,ยานนาวา,บางโพงพาง,10120
55,101301,กรุงเทพมหานคร,สัมพันธวงศ์,จักรวรรดิ,10100
56,101302,กรุงเทพมหานคร,สัมพันธวงศ์,สัมพันธวงศ์,10100
57,101303,กรุงเทพมหานคร,สัมพันธวงศ์,ตลาดน้อย,10100
58,101401,กรุงเทพมหานคร,พญาไท,สามเสนใน,10400
59,101501,กรุงเทพมหานคร,ธนบุรี,วัดกัลยาณ์,10600
60,101502,กรุงเทพมหานคร,ธนบุรี,หิรัญรูจี,10600
61,101503,กรุงเทพมหานคร,ธนบุรี,บางยี่เรือ,10600
62,101504,กรุงเทพมหานคร,ธนบุรี,บุคคโล,10600
63,101505,กรุงเทพมหานคร,ธนบุรี,ตลาดพลู,10600
64,101506,กรุงเทพมหานคร,ธนบุรี,ดาวคะนอง,10600
65,101507,กรุงเทพมหานคร,ธนบุรี,สำเหร่,10600
66,101601,กรุงเทพมหานคร,บางกอกใหญ่,วัดอรุณ,10600
67,101602,กรุงเทพมหานคร,บางกอกใหญ่,วัดท่าพระ,10600
68,101701,กรุงเทพมหานคร,ห้วยขวาง,ห้วยขวาง,10310
69,101702,กรุงเทพมหานคร,ห้วยขวาง,บางกะปิ,10310
70,101704,กรุงเทพมหานคร,ห้วยขวาง,สามเสนนอก,10310
71,101801,กรุงเทพมหานคร,คลองสาน,สมเด็จเจ้าพระยา,10600
72,101802,กรุงเทพมหานคร,คลองสาน,คลองสาน,10600
73,101803,กรุงเทพมหานคร,คลองสาน,บางลำภูล่าง,10600
74,101804,กรุงเทพมหานคร,คลองสาน,คลองต้นไทร,10600
75,101901,กรุงเทพมหานคร,ตลิ่งชัน,คลองชักพระ,10170
76,101902,กรุงเทพมหานคร,ตลิ่งชัน,ตลิ่งชัน,10170
77,101903,กรุงเทพมหานคร,ตลิ่งชัน,ฉิมพลี,10170
78,101904,กรุงเทพมหานคร,ตลิ่งชัน,บางพรม,10170
79,101905,กรุงเทพมหานคร,ตลิ่งชัน,บางระมาด,10170
80,101907,กรุงเทพมหานคร,ตลิ่งชัน,บางเชือกหนัง,10170
81,102004,กรุงเทพมหานคร,บางกอกน้อย,ศิริราช,10700
82,102005,กรุงเทพมหานคร,บางกอกน้อย,บ้านช่างหล่อ,10700
83,102006,กรุงเทพมหานคร,บางกอกน้อย,บางขุนนนท์,10700
84,102007,กรุงเทพมหานคร,บางกอกน้อย,บางขุนศรี,10700
85,102009,กรุงเทพมหานคร,บางกอกน้อย,อรุณอมรินทร์,10700
86,102105,กรุงเทพมหานคร,บางขุนเทียน,ท่าข้าม,10150
87,102107,กรุงเทพมหานคร,บางขุนเทียน,แสมดำ,10150
88,102201,กรุงเทพมหานคร,ภาษีเจริญ,บางหว้า,10160
89,102202,กรุงเทพมหานคร,ภาษีเจริญ,บางด้วน,10160
90,102203,กรุงเทพมหานคร,ภาษีเจริญ,บางแค,10160
91,102204,กรุงเทพมหานคร,ภาษีเจริญ,บางแคเหนือ,10160
92,102205,กรุงเทพมหานคร,ภาษีเจริญ,บางไผ่,10160
