ID,Commission_Code,Valid_start,Valid_End,Product_Code,Product_Name,INC_Code,Insure_Type,Company_Insure_Type,Categories,Sub_Categories,Sub_Categories2,Main_Rider,minAge,maxAge,minSumAssure,maxSumAssure,maxRAR,minRAR,ComCommission,ComCommission_2,ComCommission_3,ComCommission_4,ComCommission_5,ComCommission_6,ComCommission_7,ComCommission_8,ComCommission_9,ComCommission_10,ComCommission_11Up,AgCommission,AgCommission_2,AgCommission_3,AgCommission_4,AgCommission_5,AgCommission_6,AgCommission_7,AgCommission_8,AgCommission_9,AgCommission_10,AgCommission_11Up,InCommission,InCommission_2,InCommission_3,InCommission_4,InCommission_5,InCommission_6,InCommission_7,InCommission_8,InCommission_9,InCommission_10,InCommission_11Up
1,CMAET00010002,2000-01-01 00:00:00,9999-01-01 00:00:00,PDAET0001,ประกันสุขภาพ Platinum (AETNA),AET,Non-Life,2,การประกันภัยเบ็ดเตล็ด,สุขภาพ,Non-Motor,Main,,,,,,,0.12,,,,,,,,,,,0.084,,,,,,,,,,,0.084,,,,,,,,,,
2,CMAET00020001,2000-01-01 00:00:00,9999-01-01 00:00:00,PDAET0002,ประกันสุขภาพ Personal Care/New personal Care (AETNA),AET,Non-Life,2,การประกันภัยเบ็ดเตล็ด,สุขภาพ,Non-Motor,Main,,,,,,,0.12,,,,,,,,,,,0.084,,,,,,,,,,,0.084,,,,,,,,,,
3,CMAET00030001,2000-01-01 00:00:00,9999-01-01 00:00:00,PDAET0003,ประกันสุขภาพ แซปไฟร์  โอพีดีดีลักซ์ (AETNA),AET,Non-Life,2,การประกันภัยเบ็ดเตล็ด,สุขภาพ,Non-Motor,Main,,,,,,,0.12,,,,,,,,,,,0.084,,,,,,,,,,,0.084,,,,,,,,,,
4,CMAET00040001,2000-01-01 00:00:00,9999-01-01 00:00:00,PDAET0004,ประกันสุขภาพ โอปอล Opal (AETNA),AET,Non-Life,2,การประกันภัยเบ็ดเตล็ด,สุขภาพ,Non-Motor,Main,,,,,,,0.12,,,,,,,,,,,0.084,,,,,,,,,,,0.084,,,,,,,,,,
889,CMAIA0001001,2026-03-26 00:00:00,9999-01-01 00:00:00,PDAIA0001,ประกันสุขภาพกลุ่ม [????] (AIA),AIA,Life,1,ประกันกลุ่ม,ประกันกลุ่ม,Group,Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,CMAIA0002001,2026-05-30 00:00:00,9999-01-01 00:00:00,PDAIA0002,ประกันสุขภาพกลุ่ม  (AIA),AIA,Life,1,ประกันกลุ่ม,ประกันกลุ่ม,Group,Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,CMAIG0001001,2000-01-01 00:00:00,9999-01-01 00:00:00,PDAIG0001,ประกันการเดินทาง (AIG),AIG,Non-Life,2,การประกันภัยเบ็ดเตล็ด,ประกันการเดินทาง,Non-Motor,Main,,,,,,,0.18,,,,,,,,,,,0.12,,,,,,,,,,,0.12,,,,,,,,,,
784,CMIG00011001,2000-01-01 00:00:00,9999-01-01 00:00:00,PDAIG00011,ประกันอุบัติเหตุกลุ่ม (AIG),AIG,Non-Life,2,การประกันภัยเบ็ดเตล็ด,ประกันกลุ่ม,Non-Motor,Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,CMIG00012001,2000-01-01 00:00:00,9999-01-01 00:00:00,PDAIG00012,ประกันความเสี่ยงภัยทรัพย์สิน IAR  (AIG),AIG,Non-Life,2,การประกันอัคคีภัย,อัคคีภัย,Non-Motor,Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,CMAIG0002001,2000-01-01 00:00:00,9999-01-01 00:00:00,PDAIG0002,ประกันอัคคีภัย (AIG),AIG,Non-Life,2,การประกันอัคคีภัย,อัคคีภัย,Non-Motor,Main,,,,,,,0.18,,,,,,,,,,,0.12,,,,,,,,,,,0.12,,,,,,,,,,
