ID,SERIAL,Brand_CODE,MODEL_CODE,SUBMODEL_CODE,Vehicle_Brand,Vehicle_model,Vehicle_submodel,VH_YEAR_BEG,VH_YEAR_END,COVER_01_FLAG,COVER_PLUS_FLAG,VEHICLE_MARKET_GROUP,SEDAN_TYPE,SELL_STAT,SUBMODEL_YEAR,EFFECT_DATE,SCALE,WEIGHT,CC,SEAT_NO,CHASSIS_NO_FORMAT,ENGINE_NO_FORMAT,STANDARD_SUMINS,STANDARD_THEFT,80_SUMINS,CAR_GROUP,OLD_STD_SUMINS,OLD_STD_THEFT,CREATE_MODIFY_DATE,CREATE_ID,MODIFY_ID,MODIFY_TIME,MODEL_STATUS,rbm_serial,Redbook_Code
1,01020000033,01,19,02,TOYOTA,COROLLA,COROLLA 1.3 DXI (EE101),1993,1996,N,Y,02,4,A,1993,05-07-2022,CC,,1300.00,7,EE101-,4E-,15108,15108,12000,4,15903,15903,05-07-2022,340076,650162,17:28,N,,
2,01020000033,01,19,02,TOYOTA,COROLLA,COROLLA 1.3 DXI (EE101),1993,1996,N,Y,02,4,A,1994,30-09-2022,CC,,1300.00,7,EE101,4E,46500,46500,37000,4,44650,44650,20-09-2022,570055,REDBOOK,14:33,N,       1337,TOYO94AQ
3,01020000033,01,19,02,TOYOTA,COROLLA,COROLLA 1.3 DXI (EE101),1993,1996,N,Y,02,4,A,1995,30-09-2022,CC,,1300.00,7,EE101-,4E-,53500,53500,43000,4,51300,51300,20-09-2022,570055,REDBOOK,14:33,N,      13389,TOYO95AL
4,01020000033,01,19,02,TOYOTA,COROLLA,COROLLA 1.3 DXI (EE101),1993,1996,N,Y,02,4,A,1996,30-09-2022,CC,,1300.00,7,EE101,4E,54000,54000,43000,4,51775,51775,20-09-2022,570055,REDBOOK,14:34,N,       1346,TOYO96CV
5,01030000033,01,19,03,TOYOTA,COROLLA,COROLLA GXi 1.3 M (EE101),1994,1996,N,N,02,4,A,1994,30-09-2022,CC,,1300.00,7,EE101,,54000,54000,43000,4,51775,51775,20-09-2022,570055,REDBOOK,14:34,N,      11888,TOYO94AR
6,01030000033,01,19,03,TOYOTA,COROLLA,COROLLA GXi 1.3 M (EE101),1994,1996,N,N,02,4,A,1995,30-09-2022,CC,0.00,1300.00,7,EE101-,4E-,56000,56000,45000,4,52775,17500,20-09-2022,570055,REDBOOK,14:34,N,       1340,TOYO95AN
7,01030000033,01,19,03,TOYOTA,COROLLA,COROLLA GXi 1.3 M (EE101),1994,1996,N,N,02,4,A,1996,30-09-2022,CC,0.00,1300.00,7,EE101-,4E-,63000,63000,50000,4,53775,53775,20-09-2022,570055,REDBOOK,14:33,N,      16362,TOYO96CX
8,01040000033,01,19,04,TOYOTA,COROLLA,COROLLA GXi 1.3 A (EE101),1995,1996,N,N,02,4,A,1995,30-09-2022,CC,,1300.00,7,EE101-,4E-,61000,61000,49000,4,20000,20000,20-09-2022,570055,REDBOOK,14:34,N,       5882,TOYO95AM
9,01040000033,01,19,04,TOYOTA,COROLLA,COROLLA GXi 1.3 A (EE101),1995,1996,N,N,02,4,A,1996,30-09-2022,CC,,1300.00,7,EE101-,4E-,18500,18500,15000,4,21000,21000,20-09-2022,570055,REDBOOK,14:34,N,       8882,TOYO96CW
10,01050000033,01,19,05,TOYOTA,COROLLA,COROLLA 1.3 GLI (EE101),1993,1994,N,N,02,4,A,1993,30-09-2022,CC,,1300.00,7,EE101,4E,46500,46500,37000,4,44650,44650,20-09-2022,570055,REDBOOK,14:33,N,      13379,TOYO93AN
