ID,G_paid_status,paid_status,FinanceComp
1,จ่ายครบ,จ่ายยอดหักคอม-Insurehub,
2,จ่ายครบ,จ่ายยอดหักส่วนลดเงินสด-Insurehub,
3,จ่ายครบ,ตัดบัตรไม่เต็ม-บริษัทประกัน,
4,จ่ายครบ,ตัดบัตร-บริษัทประกัน,
5,จ่ายครบ,ตัดบัตร-Insurehub,
6,จ่ายครบ,จ่ายเต็ม-Insurehub,
7,จ่ายครบ,จ่ายเต็ม-บริษัทประกัน,
8,จ่ายครบ,จ่ายโดยเอา-ค่าคอมมาหัก,
9,จ่ายครบ,ผ่อน-บริษัทประกัน (ตัดบัตร) ไม่ต้องตาม,
10,งานผ่อน,ผ่อน-บริษัทประกัน (เงินสด) ต้องตาม,INS
11,งานผ่อน,ผ่อน-อินชัวร์ฮับ (จ่ายงวดแรก),ISH
12,งานผ่อน,ผ่อน-APFS (จ่ายงวดแรก),APFS
13,จ่ายไม่ครบ,ยังไม่จ่าย,
14,จ่ายไม่ครบ,จ่ายบางส่วน,
15,ยกเลิก,แจ้งยกเลิกต้องคืนเงิน,
16,ยกเลิก,ไม่ต้องตามเบี้ยเนืองจากลูกค้ายกเลิก,
