Insured_Type,Insured_Type_ID,Title_Code,Description_TH,Description_EN
Corporate,2,1,บริษัท,Company
Corporate,2,2,ห้างหุ้นส่วนจำกัด,Limited Partnership
Corporate,2,3,ร้าน,Shop
Corporate,2,5,สมาคม,Association
Corporate,2,6,มูลนิธิ,Foundation
Corporate,2,7,ห้างหุ้นส่วนสามัญ,Registered Ordinary Partnership
Corporate,2,8,สำนักงาน,Office
Corporate,2,9,มหาวิทยาลัย,University
Corporate,2,10,โรงเรียน,School
Corporate,2,11,โรงพยาบาล,Hospital
Corporate,2,12,อื่นๆ,Other
Corporate,2,13,กรม,Department
Corporate,2,14,กลุ่ม,Group
Corporate,2,15,กอง,Division
Corporate,2,16,โกดัง,Warehouse
Corporate,2,17,คณะ,Faculty
Corporate,2,18,คลินิก,Clinic
Corporate,2,19,ชมรม,Club
Corporate,2,20,เทศบาล,Municipality
Corporate,2,21,ธนาคาร,Bank
Corporate,2,22,นิติบุคคล,Juristic person
Corporate,2,23,บจก.,PLC
Corporate,2,24,บมจ.,PCL
Corporate,2,25,โรงงาน,Factory
Corporate,2,26,โรงแรม,Hotel
Corporate,2,27,วิทยาลัย,College
Corporate,2,28,ศาล,Court
Corporate,2,29,ศูนย์,Center
Corporate,2,30,สถานี,Station
Corporate,2,31,สถาบัน,Institute
Corporate,2,32,ห้าง,Department Store
Corporate,2,33,องค์การ,Organization
Corporate,2,35,วัด,Temple
Individual,1,5,คุณ,Khun
Individual,1,6,นาย,Mr.
Individual,1,7,นาง,Mrs.
Individual,1,8,นางสาว,Miss
Individual,1,11,จ่าสิบตรี,Sergeant Major 3rd class(SM.3)
Individual,1,12,จ่าสิบตรีหญิง,Sergeant Major 3rd class(SM.3)
Individual,1,13,จ่าสิบโท,Sergeant Major 2nd class(SM.2)
Individual,1,14,จ่าสิบโทหญิง,Sergeant Major 2nd class(SM.2)
Individual,1,15,จ่าสิบเอก,Sergeant Major 1st class(SM.1)
Individual,1,16,จ่าสิบเอกหญิง,Sergeant Major 1st class(SM.1)
Individual,1,17,ร้อยตรี,Sub Lieutenant (SubLt.)
Individual,1,18,ร้อยตรีหญิง,Sub Lieutenant (SubLt.)
Individual,1,19,ร้อยโท,Lieutenant (Lt.)
Individual,1,20,ร้อยโทหญิง,Lieutenant (Lt.)
Individual,1,21,ร้อยเอก,Captain(Capt.)
Individual,1,22,ร้อยเอกหญิง,Captain(Capt.)
Individual,1,23,พันตรี,Major(Maj.)
Individual,1,24,พันตรีหญิง,Major(Maj.)
Individual,1,25,พันโท,Lieutenant Colonel(Lt.Col)
Individual,1,26,พันโทหญิง,Lieutenant Colonel(Lt.Col)
Individual,1,27,พันเอก,Colonel(Col.)
